Year,Month,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround
2000,May,UA,United Air Lines Inc.,591,67997,61900591,3898.58,4.14,339208.5216369629,405794.5405883789,511831.4783935547,60
2000,May,US,US Airways Inc.,389,62710,37433211,3290.76,5.55,229286.9075164795,316062.5613479614,330873.0923461914,59
2000,May,WN,Southwest Airlines Co.,321,76814,37573409,3881.58,7.96,217200.3779296875,279296.693359375,245039.6220703125,53
2000,Jun,AA,American Airlines Inc.,698,61093,61351717,3425.41,3.34,370312.09745788574,440600.81550598145,634807.9027099609,63
2000,Jun,AS,Alaska Airlines Inc.,88,12705,9749669,4064.08,5.28,54599.19659423828,74503.93322753906,72120.80346679688,57
2000,Jun,CO,Continental Air Lines Inc.,343,32458,32256265,3575.31,3.49,193880.97103881836,227833.1485748291,300039.0288696289,61
2000,Jun,DL,Delta Air Lines Inc.,588,74846,55986604,3482.90,4.59,340595.0133972168,478187.08807373047,506124.9867553711,60
2000,Jun,HP,America West Airlines Inc.,126,18443,16183917,4460.17,5.11,86369.75076293945,111398.91345214844,95070.24920654297,52
2000,Jun,NW,Northwest Airlines Inc.,375,46974,34438932,3348.08,4.50,210865.2530517578,301757.89666748047,329134.7467651367,61
2000,Jun,TW,Trans World Airways LLC,184,22667,18144625,3681.83,4.52,111629.87396240234,141394.98208618164,153330.1259765625,58
2000,Jun,UA,United Air Lines Inc.,592,66081,60765784,3939.71,4.16,349008.5418395996,411775.0623931885,503471.4577636719,59
2000,Jun,US,US Airways Inc.,390,60777,36853866,3337.78,5.50,227598.30101013184,311622.66525268555,334001.69903564453,59
2000,Jun,WN,Southwest Airlines Co.,323,75056,36608747,3893.90,7.98,219509.99896240234,283387.29962158203,245610.00103759766,53
2000,Jul,AA,American Airlines Inc.,698,63158,63870455,3463.25,3.34,374083.6304779053,455446.20458984375,631036.3695678711,63
2000,Jul,AS,Alaska Airlines Inc.,92,13869,10852388,4210.23,5.40,57685.70880126953,77707.4418334961,74794.29119873047,56
2000,Jul,CO,Continental Air Lines Inc.,338,32798,33133957,3553.90,3.42,186802.87756347656,223500.79454040527,299917.12200927734,62
2000,Jul,DL,Delta Air Lines Inc.,591,75776,57377208,3473.12,4.51,338620.8410949707,472864.7450866699,512419.1583251953,60
2000,Jul,HP,America West Airlines Inc.,127,18507,16426775,4386.51,4.96,83313.47178649902,108220.00564575195,99566.52819824219,54
2000,Jul,NW,Northwest Airlines Inc.,380,48651,36178379,3344.76,4.39,211774.59608459473,298222.28829956055,335425.4037475586,61
2000,Jul,TW,Trans World Airways LLC,184,23181,18771940,3708.68,4.44,110354.70040893555,139814.73629760742,154605.29949951172,58
2000,Jul,UA,United Air Lines Inc.,586,66746,61905152,3897.21,4.12,342164.81536865234,406324.78062438965,501675.18463134766,59
2000,Jul,US,US Airways Inc.,405,64436,38697327,3300.13,5.47,237395.15744018555,326021.0778198242,345804.8425292969,59
2000,Jul,WN,Southwest Airlines Co.,330,76220,37549276,3825.87,7.80,217602.24334716797,282106.3505859375,257597.75665283203,54
2000,Aug,AA,American Airlines Inc.,710,63959,64824022,3446.82,3.32,377367.06437683105,453564.7062969208,645032.9360961914,63
2000,Aug,AS,Alaska Airlines Inc.,91,13727,10734367,4049.44,5.22,57029.07067871094,77769.6488647461,74010.92932128906,56
2000,Aug,CO,Continental Air Lines Inc.,343,33803,34074957,3603.92,3.48,194192.72729492188,228593.26192855835,299727.27282714844,61
2000,Aug,DL,Delta Air Lines Inc.,591,77654,58297162,3481.25,4.57,341720.0339355469,478146.7201690674,509319.96588134766,60
2000,Aug,HP,America West Airlines Inc.,128,18766,16465578,4410.90,5.03,88545.63500976562,112324.86364746094,95774.36499023438,52
2000,Aug,NW,Northwest Airlines Inc.,377,49194,36441386,3387.89,4.49,213939.02545166016,301163.6848449707,328940.9741821289,61
2000,Aug,TW,Trans World Airways LLC,182,23427,18931732,3701.45,4.45,109760.84545898438,138601.0075378418,152319.15454101562,58
2000,Aug,UA,United Air Lines Inc.,586,66759,61983122,3943.72,4.16,344918.36279296875,402411.65143585205,498921.63763427734,59
2000,Aug,US,US Airways Inc.,407,64943,39058583,3305.70,5.47,241485.38203430176,328478.755859375,344594.6176147461,59
2000,Aug,WN,Southwest Airlines Co.,333,79134,38952728,3913.58,8.00,225853.01947021484,291066.51232910156,253666.98052978516,53
2000,Sep,AA,American Airlines Inc.,713,60667,61379096,3376.70,3.25,371500.26835632324,452712.21464538574,655219.731628418,64
2000,Sep,AS,Alaska Airlines Inc.,92,12735,9746329,3874.55,5.06,55573.66012573242,76187.36584472656,76906.33996582031,58
2000,Sep,CO,Continental Air Lines Inc.,348,31366,31858846,3557.26,3.41,193816.18238830566,229859.7125415802,307303.81774902344,61
2000,Sep,DL,Delta Air Lines Inc.,590,73696,55627485,3432.58,4.49,335207.88508605957,472118.2085418701,514392.11474609375,61
2000,Sep,HP,America West Airlines Inc.,129,17870,15463910,4253.83,4.94,86742.70556640625,108887.73796081543,99017.2944946289,53
2000,Sep,NW,Northwest Airlines Inc.,372,44790,31752325,3119.73,4.38,197292.8147277832,287315.6217651367,338387.1853027344,63
2000,Sep,TW,Trans World Airways LLC,182,21533,17304111,3568.58,4.36,105979.62811279297,136261.07022094727,156100.37182617188,60
2000,Sep,UA,United Air Lines Inc.,585,62268,57987651,3807.43,4.00,336962.2399597168,406610.9145202637,505437.75982666016,60
2000,Sep,US,US Airways Inc.,417,62677,37858005,3260.73,5.42,247486.9309234619,337782.5305633545,352993.0692138672,59
2000,Sep,WN,Southwest Airlines Co.,331,75495,37456530,3883.05,7.85,221495.54815673828,285836.2658691406,255144.45184326172,54
2000,Oct,AA,American Airlines Inc.,710,63381,64074210,3428.31,3.31,376602.2865447998,460231.9088897705,645797.7140197754,63
2000,Oct,AS,Alaska Airlines Inc.,94,13180,9946152,3848.85,5.17,57082.258361816406,77906.51232910156,78277.74157714844,58
2000,Oct,CO,Continental Air Lines Inc.,341,33434,33493013,3633.41,3.49,194555.4226989746,230496.90000629425,296484.57751464844,60
2000,Oct,DL,Delta Air Lines Inc.,604,77425,57967575,3426.30,4.53,345674.8589477539,480675.70039367676,524085.14111328125,60
2000,Oct,HP,America West Airlines Inc.,130,18812,16324790,4316.94,5.00,87195.06365966797,113758.3101196289,100004.93634033203,53
2000,Oct,NW,Northwest Airlines Inc.,381,47298,33656271,3195.80,4.41,206424.9690093994,294094.0730743408,342215.03076171875,62
2000,Oct,TW,Trans World Airways LLC,176,22399,17931924,3677.46,4.50,105657.09823608398,135007.0934753418,147782.9019165039,58
2000,Oct,UA,United Air Lines Inc.,592,65188,60917284,3844.99,4.03,347055.1441040039,419735.3106994629,505424.8562011719,59
2000,Oct,US,US Airways Inc.,413,65017,39188234,3255.08,5.43,244452.59699249268,333900.11795806885,350267.40313720703,59
2000,Oct,WN,Southwest Airlines Co.,336,79627,39487175,3907.22,7.90,228295.89584350586,294512.08087158203,255544.10418701172,53
2000,Nov,AA,American Airlines Inc.,706,61194,62046996,3448.24,3.31,379871.51121520996,459326.9858093262,636768.4888916016,63
2000,Nov,AQ,Aloha Airlines Inc.,21,5396,825183,1614.21,10.99,8839.922546386719,14360.941955566406,21400.07733154297,71
2000,Nov,AS,Alaska Airlines Inc.,94,12189,9248145,3680.08,4.92,55568.0693359375,76482.07733154297,79791.93060302734,59
2000,Nov,CO,Continental Air Lines Inc.,346,31903,31802733,3502.46,3.43,192523.22122192383,231269.80460357666,305716.7787475586,61
2000,Nov,DL,Delta Air Lines Inc.,602,73659,55323279,3375.83,4.45,342999.63875579834,476960.12060546875,523880.3614501953,60
2000,Nov,HP,America West Airlines Inc.,136,18049,15866675,4159.51,4.80,86772.49896240234,111674.5775756836,109067.50103759766,56
2000,Nov,NW,Northwest Airlines Inc.,370,45013,31847364,3155.29,4.43,200294.76629638672,286829.394241333,332505.2333984375,62
2000,Nov,TW,Trans World Airways LLC,176,21067,17279632,3648.37,4.30,105121.69805908203,131929.8651123047,148318.3018798828,59
2000,Nov,UA,United Air Lines Inc.,596,60167,56390073,3740.51,3.87,335096.6206817627,405521.21350860596,523143.3790283203,61
2000,Nov,US,US Airways Inc.,414,62503,37420640,3264.40,5.45,248929.30921173096,339450.3575210571,347230.6909790039,58
2000,Nov,WN,Southwest Airlines Co.,341,76111,38067861,3851.05,7.74,229412.71118164062,295476.69537353516,261627.28881835938,53
2000,Dec,AA,American Airlines Inc.,706,63959,65072344,3501.72,3.38,369532.3434906006,439514.80294036865,647107.6563110352,64
2000,Dec,AQ,Aloha Airlines Inc.,21,5640,1002647,1786.16,10.58,9090.202239990234,14334.855041503906,21149.79766845703,70
2000,Dec,AS,Alaska Airlines Inc.,94,12869,9759131,3706.12,4.88,55895.25115966797,75996.66107177734,79464.74890136719,59
2000,Dec,CO,Continental Air Lines Inc.,352,33041,33084244,3529.59,3.40,194444.97213745117,229351.51420593262,312435.0277709961,62
2000,Dec,DL,Delta Air Lines Inc.,610,75331,57084491,3398.96,4.44,324996.48945617676,499543.02754211426,553403.5103759766,63
2000,Dec,HP,America West Airlines Inc.,136,18652,16427882,4174.98,4.77,87544.07904052734,116762.8139038086,108295.92095947266,55
2000,Dec,NW,Northwest Airlines Inc.,382,45821,33449626,3262.12,4.29,209904.97302246094,297540.12677001953,340175.0267944336,62
2000,Dec,TW,Trans World Airways LLC,179,21284,17481351,3627.72,4.31,105400.5415649414,130407.83670043945,152359.45837402344,59
2000,Dec,UA,United Air Lines Inc.,599,61984,58293966,3756.59,3.88,333196.40773010254,394800.8231754303,529363.5924682617,61
2000,Dec,US,US Airways Inc.,418,63727,38168302,3227.02,5.39,245682.11575317383,333718.5739135742,356237.88415527344,59
2000,Dec,WN,Southwest Airlines Co.,343,78730,39749751,3865.12,7.66,229219.5867919922,296042.5900878906,264700.4132080078,54
2001,Jan,AA,American Airlines Inc.,660,64641,65877344,3696.63,3.55,372174.81034851074,439949.73251342773,578225.1899394989,61
2001,Jan,AQ,Aloha Airlines Inc.,21,5404,975815,1770.74,10.50,9031.358276367188,14300.588500976562,21208.641662597656,70
2001,Jan,AS,Alaska Airlines Inc.,95,13050,9881975,3741.50,4.96,57027.417572021484,77910.06286621094,79772.58239746094,58
2001,Jan,CO,Continental Air Lines Inc.,344,33777,33651183,3528.22,3.49,193495.17491149902,231652.93949890137,301864.8249511719,61
2001,Jan,DL,Delta Air Lines Inc.,599,76671,57669807,3482.50,4.54,339797.3985900879,489689.44261550903,522762.60137939453,61
2001,Jan,HP,America West Airlines Inc.,138,19235,16808826,4186.00,4.82,90949.26528930664,120367.68826293945,107770.73455810547,54
2001,Jan,MQ,Envoy Air,233,42723,11239183,1668.30,6.34,107143.48977661133,172435.85418701172,228376.51025390625,68
2001,Jan,NW,Northwest Airlines Inc.,380,45865,32965102,3272.96,4.31,208911.39895629883,293931.35302734375,338288.6013183594,62
2001,Jan,TW,Trans World Airways LLC,180,21929,17870742,3684.44,4.38,108240.30206298828,135394.52755737305,150959.69799804688,58
2001,Jan,UA,United Air Lines Inc.,592,62351,58173022,3721.87,3.89,334797.59382629395,404470.72733306885,517682.4063720703,61
2001,Jan,US,US Airways Inc.,415,63830,38122039,3206.14,5.40,244364.1181640625,333815.0369720459,353235.8819580078,59
2001,Jan,WN,Southwest Airlines Co.,346,80464,40541332,3910.21,7.76,234274.05401611328,301610.4927368164,263965.9459838867,53
2001,Feb,AA,American Airlines Inc.,663,57915,59110743,3656.08,3.51,375037.7794647217,437753.35386657715,579682.2209300995,61
2001,Feb,AQ,Aloha Airlines Inc.,21,4896,900382,1873.43,10.89,9397.540710449219,15002.739074707031,20842.459350585938,69
2001,Feb,AS,Alaska Airlines Inc.,95,11870,9007630,3704.50,4.93,56187.528076171875,76383.02185058594,80612.47192382812,59
2001,Feb,CO,Continental Air Lines Inc.,343,30619,30609578,3529.05,3.48,194033.30526733398,231360.2699584961,299886.6946411133,61
2001,Feb,DL,Delta Air Lines Inc.,590,67415,50256808,3384.44,4.46,334439.99279785156,468884.61347961426,515160.0072784424,61
2001,Feb,HP,America West Airlines Inc.,137,17314,15241615,4196.49,4.83,91563.25625610352,119219.76330566406,105716.74377441406,54
2001,Feb,MQ,Envoy Air,234,38488,9896732,1616.36,6.30,107007.16314697266,172934.3797302246,229952.8367919922,68
2001,Feb,NW,Northwest Airlines Inc.,385,42082,31017090,3449.80,4.31,219140.1446838379,297593.7858581543,335259.8553466797,60
2001,Feb,TW,Trans World Airways LLC,177,19831,16218387,3669.51,4.38,106037.47915649414,133049.5736694336,148842.52081298828,58
2001,Feb,UA,United Air Lines Inc.,597,57095,53243996,3746.59,3.91,342083.34062194824,407300.8479614258,517596.65911865234,60
2001,Feb,US,US Airways Inc.,415,57288,34769094,3255.60,5.37,245935.07890319824,334662.013671875,351664.92108154297,59
2001,Feb,WN,Southwest Airlines Co.,348,73011,36908233,3909.50,7.74,237033.67053222656,304869.3776855469,264086.32946777344,53
2001,Mar,AA,American Airlines Inc.,662,64627,65981670,3716.05,3.56,375065.3988494873,438325.7208404541,578214.6016540527,61
2001,Mar,AQ,Aloha Airlines Inc.,20,5487,1019683,1922.54,11.04,9169.363189697266,14626.446716308594,19630.63671875,68
2001,Mar,AS,Alaska Airlines Inc.,97,13104,9950798,3600.94,4.78,57459.315673828125,78775.66998291016,82220.68438720703,59
2001,Mar,CO,Continental Air Lines Inc.,360,34194,34319380,3550.35,3.43,202005.53854370117,239582.65830993652,316394.46112060547,61
2001,Mar,DL,Delta Air Lines Inc.,595,74960,55957324,3390.85,4.47,334230.0372467041,471464.7522125244,522569.9628753662,61
2001,Mar,HP,America West Airlines Inc.,138,19216,16840647,4183.91,4.79,91908.66995239258,118150.00512695312,106811.33013916016,54
2001,Mar,MQ,Envoy Air,238,42813,11134805,1643.60,6.33,108587.57020568848,178248.48406982422,234132.4291381836,68
2001,Mar,NW,Northwest Airlines Inc.,393,46587,34581324,3487.65,4.28,224238.5883178711,298237.30447387695,341681.4117126465,60
2001,Mar,TW,Trans World Airways LLC,176,21819,17811601,3669.96,4.37,104412.11380004883,132582.79443359375,149027.88623046875,59
2001,Mar,UA,United Air Lines Inc.,584,64102,59842377,3836.06,4.06,340229.6655883789,417357.4150619507,500730.33435058594,60
2001,Mar,US,US Airways Inc.,417,63404,38638794,3261.77,5.39,246362.0232849121,336707.3293914795,354117.9765625,59
2001,Mar,WN,Southwest Airlines Co.,352,80806,40940224,3893.53,7.71,238327.42254638672,306393.63372802734,268552.5774536133,53
2001,Apr,AA,American Airlines Inc.,664,62332,63768193,3654.70,3.48,374970.10987854004,437436.17041015625,581189.8900814056,61
2001,Apr,AQ,Aloha Airlines Inc.,21,5344,1071396,2203.18,10.38,10179.300109863281,15570.246704101562,20060.699951171875,66
2001,Apr,AS,Alaska Airlines Inc.,96,12791,9589532,3577.18,4.79,56262.30758666992,78904.94909667969,81977.6923828125,59
2001,Apr,CO,Continental Air Lines Inc.,360,33101,33303750,3536.58,3.44,203303.98083496094,247457.26649397612,315096.01934814453,61
2001,Apr,DL,Delta Air Lines Inc.,590,72243,54301619,3385.73,4.43,332014.98541259766,462110.20960998535,517585.014541626,61
2001,Apr,HP,America West Airlines Inc.,139,17832,15774025,4069.98,4.65,90412.2883605957,114490.521484375,109747.71166992188,55
2001,Apr,MQ,Envoy Air,238,41858,10961689,1650.10,6.31,109021.87045288086,178701.1069946289,233698.12915039062,68
2001,Apr,NW,Northwest Airlines Inc.,382,45488,33005550,3321.84,4.38,214528.4226989746,293878.7301902771,335551.57733154297,61
2001,Apr,TW,Trans World Airways LLC,181,20799,17031011,3626.68,4.41,106427.32278442383,134735.61701965332,154212.67724609375,59
2001,Apr,UA,United Air Lines Inc.,585,61722,58321136,3829.09,3.97,339383.87478637695,413259.7106781006,503016.1248779297,60
2001,Apr,US,US Airways Inc.,413,61582,37319405,3275.93,5.31,244251.63082885742,336102.56982421875,350468.369140625,59
