Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround,PctEfficiency,Month
2003,MQ,Envoy Air,2442,421769,138757849,2027.72,6.11,1188853.4109802246,1893278.6575012207,2320426.5905151367,66,34,"Total"
2003,NW,Northwest Airlines Inc.,4619,499160,368539061,3101.56,3.96,2393630.3675308228,3331647.7532873154,4257729.633453369,64,36,"Total"
2003,OO,SkyWest Airlines Inc.,2056,393172,128303339,2186.36,6.73,1976720.4664916992,1676932.7106933594,976719.5319956541,33,67,"Total"
2003,TZ,ATA Airlines d/b/a ATA,667,69175,78974679,4448.29,3.88,447341.6391296387,542050.4421691895,511698.3609008789,53,47,"Total"
2003,UA,United Air Lines Inc.,6395,543957,565395453,3370.71,3.16,3262669.8686828613,4043593.0686950684,5946130.130554199,65,35,"Total"
2003,US,US Airways Inc.,3304,408583,271527256,2992.81,4.41,1755475.8531799316,2438834.5897521973,2995084.1463623047,63,37,"Total"
2003,WN,Southwest Airlines Co.,4558,953316,529727695,3941.55,7.08,3036372.9555358887,3881059.828063965,3519947.044494629,54,46,"Total"
2003,XE,ExpressJet Airlines Inc.,2528,324632,157101671,2185.46,4.48,1125935.2379760742,1724967.643951416,2505744.7631225586,69,31,"Total"
2004,AA,American Airlines Inc.,8566,686146,755251363,3441.20,3.04,4559296.533996582,5351458.422633171,7775743.46472168,63,37,"Total"
2004,AS,Alaska Airlines Inc.,1297,166992,143215203,3881.97,4.58,786624.0477294922,1013873.6682128906,1081055.9526062012,58,42,"Total"
2004,B6,JetBlue Airways,734,89313,119353219,5579.14,4.18,601918.0977172852,629646.3238525391,455041.90213012695,43,57,"Total"
2004,CO,Continental Air Lines Inc.,4144,297431,329853501,3104.92,2.72,2027369.9837036133,2408813.252199173,3939990.01763916,66,34,"Total"
2004,DH,Independence Air,1523,264419,94162568,2260.46,6.41,778954.6058044434,1298461.894683838,1412725.3938598633,64,36,"Total"
2004,DL,Delta Air Lines Inc.,6355,687638,570594518,3260.76,3.87,3439845.1300582886,4621452.228523254,5711354.870483398,62,38,"Total"
2004,EV,ExpressJet Airlines Inc.,1613,278861,118739046,2511.15,5.91,824354.988861084,1433452.5382080078,1498365.01171875,65,35,"Total"
2004,FL,AirTran Airways Corporation,947,162558,101743795,3581.82,5.72,614136.6459350586,828866.1938476562,749543.3540649414,55,45,"Total"
2004,HA,Hawaiian Airlines Inc.,303,47915,27738214,3320.18,6.02,157080.8811340332,193153.23098754883,279239.119140625,64,36,"Total"
2004,HP,America West Airlines Inc.,1673,195939,203622782,4219.23,4.07,1072298.0486602783,1313256.8747253418,1336821.9510498047,55,45,"Total"
2004,MQ,Envoy Air,2729,465301,170037327,2188.85,6.02,1385162.2636260986,2130438.335784912,2544597.736328125,65,35,"Total"
2004,NW,Northwest Airlines Inc.,4616,507285,375884696,3089.06,3.95,2397772.398803711,3280475.470734924,4249267.600830078,64,36,"Total"
2004,OH,Comair Inc.,1924,367992,173747715,3082.27,6.54,1155981.7541809082,1750442.6576538086,1614578.245727539,58,42,"Total"
2004,OO,SkyWest Airlines Inc.,2352,453662,155864169,2287.33,6.71,1824333.3853759766,1940942.7238464355,1562546.6148605347,46,54,"Total"
2004,TZ,ATA Airlines d/b/a ATA,733,75533,84723441,4428.27,3.91,493925.1516113281,587863.7461547852,561594.8483886719,53,47,"Total"
2004,UA,United Air Lines Inc.,6197,555812,592067318,3592.58,3.31,3404458.489250183,4075192.561445236,5519221.510253906,62,38,"Total"
2004,US,US Airways Inc.,3483,413140,281277777,2931.49,4.26,1786641.8639297485,2538070.3397216797,3228878.1366882324,64,36,"Total"
2004,WN,Southwest Airlines Co.,4829,980301,565371201,4000.52,6.96,3278635.3126220703,4120380.318725586,3675124.6873168945,53,47,"Total"
2004,XE,ExpressJet Airlines Inc.,2823,361600,187195007,2306.86,4.46,1337479.6902160645,1988795.5668029785,2727640.310119629,67,33,"Total"
2005,AA,American Airlines Inc.,8445,663817,713366725,3379.00,3.05,4404463.567459106,5188822.068322778,7756336.431335449,64,36,"Total"
2005,AS,Alaska Airlines Inc.,1308,158100,138031164,3844.59,4.48,793384.155090332,1030482.2585449219,1090135.8452148438,58,42,"Total"
2005,B6,JetBlue Airways,941,110143,149642671,5538.56,4.09,782634.706817627,801095.2092876434,572405.2932739258,42,58,"Total"
2005,CO,Continental Air Lines Inc.,3973,293922,331673562,3256.06,2.79,2032121.2448425293,2351333.710542381,3688998.7572021484,64,36,"Total"
2005,DH,Independence Air,916,136492,60671620,2392.31,5.44,455052.34564208984,716196.469909668,863987.6537475586,66,34,"Total"
2005,DL,Delta Air Lines Inc.,6164,658302,564268170,3323.42,3.88,3336744.680885315,4471568.893894196,5539415.317932129,62,38,"Total"
2005,EV,ExpressJet Airlines Inc.,1791,304647,139250724,2728.83,5.98,936899.7262516022,1614229.0254211426,1642140.2741699219,64,36,"Total"
2005,F9,Frontier Airlines Inc.,388,53255,48562429,4259.69,4.66,258347.14987182617,333983.16998291016,300372.8501586914,54,46,"Total"
2005,FL,AirTran Airways Corporation,1162,195392,127526045,3681.71,5.63,759965.9842224121,1013245.4705200195,913314.0158081055,55,45,"Total"
2005,HA,Hawaiian Airlines Inc.,300,48114,28619742,3443.32,6.08,160992.52758789062,204727.4241027832,271007.4729003906,63,37,"Total"
2005,HP,America West Airlines Inc.,1683,197853,200373825,4106.45,4.08,1073170.4581298828,1290608.3343200684,1350349.5415649414,56,44,"Total"
2005,MQ,Envoy Air,3037,515286,204624668,2354.48,5.94,1569961.0284729004,2382613.584136963,2803318.97076416,64,36,"Total"
2005,NW,Northwest Airlines Inc.,4394,480832,365044151,3110.39,3.94,2297859.4446105957,3158522.301153183,4029500.554046631,64,36,"Total"
2005,OH,Comair Inc.,2012,376831,168784525,2880.94,6.44,1165515.024597168,1788688.3499145508,1731764.9757995605,60,40,"Total"
2005,OO,SkyWest Airlines Inc.,2709,507821,192424732,2499.51,6.65,1435252.2925109863,2207496.5966796875,2465707.7076416016,63,37,"Total"
2005,TZ,ATA Airlines d/b/a ATA,498,44109,47556475,4157.72,3.64,312878.4490661621,364293.2441711426,404241.5510253906,56,44,"Total"
2005,UA,United Air Lines Inc.,5367,485918,532116122,3737.36,3.38,3057167.347885132,3574042.475507736,4671312.65234375,60,40,"Total"
2005,US,US Airways Inc.,3447,417183,284649177,3031.23,4.39,1837717.2987213135,2596720.9376506805,3125962.7029418945,63,37,"Total"
2005,WN,Southwest Airlines Co.,5171,1027275,624146136,4078.53,6.74,3540096.331085205,4414982.048950195,3906143.6688842773,52,48,"Total"
2005,XE,ExpressJet Airlines Inc.,3075,394414,209081482,2372.28,4.48,1484933.126586914,2164412.4206237793,2943066.871032715,66,34,"Total"
2006,AA,American Airlines Inc.,8165,633470,683652489,3403.62,3.04,4280335.4453125,5001017.524190903,7477264.554351807,64,36,"Total"
2006,AQ,Aloha Airlines Inc.,168,34789,14685515,3095.92,8.01,91460.91998291016,127681.68417358398,150459.0802001953,62,38,"Total"
2006,AS,Alaska Airlines Inc.,1314,159404,141610317,3821.33,4.35,799138.7617340088,1050020.9583435059,1093021.2379608154,58,42,"Total"
2006,B6,JetBlue Airways,1295,155046,183648038,4912.16,4.17,999477.3502197266,1050817.7706604004,865322.649597168,46,54,"Total"
2006,CO,Continental Air Lines Inc.,4026,307740,350234964,3383.84,2.87,2162162.887588501,2437646.5554789603,3635277.1123046875,63,37,"Total"
2006,DL,Delta Air Lines Inc.,5270,506086,464314553,3336.07,3.55,2841782.5839424133,3538420.436214447,4747017.41595459,63,37,"Total"
