Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2002,UA,United Air Lines Inc.,292,20.45,4622.00,4194844,0.00,2.82,0.00,1.46,0.00,1,Total
2002,NW,Northwest Airlines Inc.,4680,598.84,506016.00,375224802,76869.35,146.84,524.12,3.93,64954601.00,0,Total
2002,NW,Northwest Airlines Inc.,2532,10.59,7315.00,4001358,0.00,6.99,0.00,1.51,0.00,1,Total
2002,MQ,Envoy Air,2818,821.55,427207.00,128334654,63305.39,144.49,425.59,5.53,32918801.00,0,Total
2002,MQ,Envoy Air,3,1658.00,3316.00,1021098,0.00,45.00,0.00,36.49,0.00,1,Total
2002,HP,America West Airlines Inc.,1679,690.70,194088.00,183918570,102298.83,169.56,599.50,4.08,28745972.00,0,Total
2002,HP,America West Airlines Inc.,748,9.62,2020.00,1805259,0.00,6.50,0.00,1.51,0.00,1,Total
2002,DL,Delta Air Lines Inc.,6617,636.65,720693.00,566214244,84216.95,153.90,532.27,4.00,95333590.00,0,Total
2002,DL,Delta Air Lines Inc.,3164,7.83,7944.00,5155879,0.00,5.47,0.00,1.40,0.00,1,Total
2002,CO,Continental Air Lines Inc.,4276,861.57,323949.00,339683022,143236.61,289.46,483.66,2.85,53856966.00,0,Total
2002,CO,Continental Air Lines Inc.,3,94.50,189.00,144422,0.00,27.50,0.00,3.41,0.00,1,Total
2002,AS,Alaska Airlines Inc.,1218,762.95,155641.00,123886564,98124.21,168.54,578.71,4.53,20017339.00,0,Total
2002,AS,Alaska Airlines Inc.,12,1184.33,3553.00,2474243,0.00,117.67,0.00,10.07,0.00,1,Total
2002,AA,American Airlines Inc.,9769,481.06,842818.00,837554985,76217.46,139.61,522.64,3.25,133532982.00,0,Total
2002,AA,American Airlines Inc.,3,1388.00,2776.00,2337039,0.00,43.00,0.00,32.21,0.00,1,Total
2003,XE,ExpressJet Airlines Inc.,2522,1400.26,322059.00,157101671,139530.59,311.74,446.45,4.48,32092035.00,0,Total
2003,XE,ExpressJet Airlines Inc.,6,3454.00,3454.00,1379527,0.00,135.00,0.00,24.91,0.00,1,Total
2003,WN,Southwest Airlines Co.,4553,2420.53,948848.00,529727695,228421.36,342.17,666.90,7.08,89541175.00,0,Total
2003,WN,Southwest Airlines Co.,7,5250.00,5250.00,2002187,0.00,209.00,0.00,25.11,0.00,1,Total
2003,US,US Airways Inc.,3299,1413.23,405598.00,271527256,168893.26,311.58,532.12,4.41,48472365.00,0,Total
